2024-08-25 14:51:49.864 +08:00 [INF] Main (RegisterAcc) | Receive Request to register account, Request: {"name":"Kai Xuan","username":"string","password":"Mj/HV8dY/vQ/8bx0/6KToAqI661ve0lh4vAOHlll0zyM2ELMLbSX/VI5VG/AaNnY","email":"kaixuan0131@gmail.com","userRoleId":0,"phone":"string"}
2024-08-25 21:02:26.918 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:02:26.919 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email request. User Id: 20240825210226947593, recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 21:02:26.920 +08:00 [INF] DBL (CreateAsync) | Receive Request to Generate Token. User Id: 20240825210226947593, Token Type: EmailConfirmation
2024-08-25 21:02:26.998 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:02:26.998 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. User Id: 20240825210226947593
2024-08-25 21:02:27.031 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email Successful. Recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 21:02:27.032 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. user id: 20240825210226947593
2024-08-25 21:02:38.476 +08:00 [INF] DBL (ResendConfirmEmailAsync) | Received request to resend confirmation email. Username: string
2024-08-25 21:02:38.520 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email request. User Id: 20240825210226947593, recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 21:02:38.520 +08:00 [INF] DBL (CreateAsync) | Receive Request to Generate Token. User Id: 20240825210226947593, Token Type: EmailConfirmation
2024-08-25 21:02:38.572 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:02:38.572 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. User Id: 20240825210226947593
2024-08-25 21:02:38.578 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email Successful. Recipient name: Kai Xuan, recipient email: kaixuan0131@gmail.com
2024-08-25 21:02:38.578 +08:00 [INF] DBL (ResendConfirmEmailAsync) | Confirmation email resent successfully. User Id: 20240825210226947593
2024-08-25 21:03:00.127 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Receive Request to Confirm Email. Token: mAzO18eM4YZfe6D0ojrFeiqTXWRZsTGE4kWezftov88=
2024-08-25 21:05:31.196 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Receive Request to Confirm Email. Token: cwfZNbR9oV4A0nbXjwzRMtPlnmSTVkR4W4ugO91YH2U=
2024-08-25 21:05:31.306 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:05:31.306 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Record Update Successful. User Id: 20240825210226947593
2024-08-25 21:28:05.946 +08:00 [INF] Main (RegisterAcc) | Receive Request to register account, Request: {"name":"string","username":"string","password":"40u1f0nVtMNXAdDeuKZeCYbd8IAfFSRM6hSlfcUqtpr5wpokZWBr/eEvg/vkUbOy","email":"kaixuan0131@gmail.com","userRoleId":0,"phone":"string"}
2024-08-25 21:28:06.301 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:28:06.302 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email request. User Id: 20240825212805506724, recipient name: string, recipient email: kaixuan0131@gmail.com
2024-08-25 21:28:06.303 +08:00 [INF] DBL (CreateAsync) | Receive Request to Generate Token. User Id: 20240825212805506724, Token Type: EmailConfirmation
2024-08-25 21:28:06.401 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:28:06.401 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. User Id: 20240825212805506724
2024-08-25 21:28:06.434 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email Successful. Recipient name: string, recipient email: kaixuan0131@gmail.com
2024-08-25 21:28:06.435 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. user id: 20240825212805506724
2024-08-25 21:28:12.149 +08:00 [INF] DBL (ResendConfirmEmailAsync) | Received request to resend confirmation email. Username: string
2024-08-25 21:28:12.276 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email request. User Id: 20240825212805506724, recipient name: string, recipient email: kaixuan0131@gmail.com
2024-08-25 21:28:12.276 +08:00 [INF] DBL (CreateAsync) | Receive Request to Generate Token. User Id: 20240825212805506724, Token Type: EmailConfirmation
2024-08-25 21:28:12.322 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:28:12.322 +08:00 [INF] DBL (CreateAsync) | Record Insert Successful. User Id: 20240825212805506724
2024-08-25 21:28:12.327 +08:00 [INF] DBL (SendConfirmEmailAsync) | Send Confirm Email Successful. Recipient name: string, recipient email: kaixuan0131@gmail.com
2024-08-25 21:28:12.327 +08:00 [INF] DBL (ResendConfirmEmailAsync) | Confirmation email resent successfully. User Id: 20240825212805506724
2024-08-25 21:30:31.011 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Receive Request to Confirm Email. Token: 7I+J5+/pQlyNGdvvOlQlXCNAohGFxf9MDp2jUWHYvfs=
2024-08-25 21:33:50.352 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Receive Request to Confirm Email. Token: C7DDZ0XUteDEN9Ez609+jT71ImStoP8D3v8tmvQl8u8=
2024-08-25 21:33:50.546 +08:00 [ERR] DBL (CreateAuditTrailAsync) | Error when Insert Audit Trail (Object). Exception Message: Self referencing loop detected for property 'AuditTrail' with type 'DAL.Entity.TAuditTrail'. Path 'AuditTrailDetails[0]'.
2024-08-25 21:33:50.546 +08:00 [INF] DBL (UpdateUserConfirmEmailAsync) | Record Update Successful. User Id: 20240825212805506724
